"genre","game_count","avg_recommendations"
"RPG","2786","855.27"
"Action","5639","602.31"
"Adventure","5910","449.21"
"Massively Multiplayer","284","433.01"
"Strategy","2989","394.12"
"Simulation","3305","338.94"
"Sports","545","300.86"
"Early Access","1448","274.08"
"Indie","10342","240.88"
"Racing","496","204.96"
"Casual","6944","190.94"
"Free To Play","1968","11.88"
