"name","release_year","recommendations","final_price"
"Battlefield™ 2042","2021","259134","59.99"
"ELDEN RING","2022","817390","59.99"
"Starfield","2023","113758","49.99"
"Warhammer 40,000: Space Marine 2","2024","155555","17.99"
"Clair Obscur: Expedition 33","2025","174287","47.99"
"KLETKA","2026","5770","9.99"
